schema,table,attribute,type,level,Data Lineage Source
tayloro,colorado_avg_age_per_crime_category_1997_2020,city,varchar,gold,colorado_crimes_with_cities
tayloro,colorado_avg_age_per_crime_category_1997_2020,offense_category_name,varchar,gold,colorado_crimes_with_cities
tayloro,colorado_avg_age_per_crime_category_1997_2020,avg_age,double,gold,colorado_crimes_with_cities
tayloro,colorado_business_entities,entityid,bigint,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,entityname,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,principaladdress1,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,principaladdress2,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,principalcity,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,principalcounty,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,principalstate,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,principalzipcode,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,principalcountry,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,entitystatus,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,jurisdictonofformation,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,entitytype,varchar,silver,colorado_business_entities_raw
tayloro,colorado_business_entities,entityformdate,date,silver,colorado_business_entities_raw
tayloro,colorado_business_entities_duplicates,entityid,bigint,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,entityname,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,principaladdress1,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,principaladdress2,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,principalcity,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,principalcounty,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,principalstate,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,principalzipcode,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,principalcountry,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,entitystatus,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,jurisdictonofformation,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,entitytype,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_duplicates,entityformdate,date,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,entityid,bigint,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,entityname,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,principaladdress1,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,principaladdress2,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,principalcity,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,principalcounty,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,principalstate,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,principalzipcode,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,principalcountry,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,entitystatus,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,jurisdictonofformation,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,entitytype,varchar,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_misfit_entities,entityformdate,date,silver,colorado_business_entities_stg_{{yesterday_ds))
tayloro,colorado_business_entities_raw,entityid,bigint,bronze,source
tayloro,colorado_business_entities_raw,entityname,varchar,bronze,source
tayloro,colorado_business_entities_raw,principaladdress1,varchar,bronze,source
tayloro,colorado_business_entities_raw,principaladdress2,varchar,bronze,source
tayloro,colorado_business_entities_raw,principalcity,varchar,bronze,source
tayloro,colorado_business_entities_raw,principalstate,varchar,bronze,source
tayloro,colorado_business_entities_raw,principalzipcode,varchar,bronze,source
tayloro,colorado_business_entities_raw,principalcountry,varchar,bronze,source
tayloro,colorado_business_entities_raw,entitystatus,varchar,bronze,source
tayloro,colorado_business_entities_raw,jurisdictonofformation,varchar,bronze,source
tayloro,colorado_business_entities_raw,entitytype,varchar,bronze,source
tayloro,colorado_business_entities_raw,entityformdate,varchar,bronze,source
tayloro,colorado_business_entities_with_ranking,entityid,bigint,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,entityname,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,principaladdress1,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,principaladdress2,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,principalcity,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,principalcounty,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,principalstate,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,principalzipcode,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,principalcountry,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,entitystatus,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,jurisdictonofformation,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,entitytype,varchar,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,entityformdate,date,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,crime_rank,double,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,income_rank,integer,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,population_rank,integer,silver,colorado_business_entities
tayloro,colorado_business_entities_with_ranking,final_rank,double,silver,colorado_business_entities
tayloro,colorado_cities_and_counties,city,varchar,silver,source
tayloro,colorado_cities_and_counties,county,varchar,silver,source
tayloro,colorado_city_county_zip,zip_code,integer,bronze,source
tayloro,colorado_city_county_zip,city,varchar,bronze,source
tayloro,colorado_city_county_zip,county,varchar,bronze,source
tayloro,colorado_city_crime_counts_1997_2020,city,varchar,gold,colorado_crimes
tayloro,colorado_city_crime_counts_1997_2020,crime_count,bigint,gold,colorado_crimes
tayloro,colorado_city_crime_time_likelihood,city,varchar,gold,colorado_crimes
tayloro,colorado_city_crime_time_likelihood,offense_category_name,varchar,gold,colorado_crimes_with_cities
tayloro,colorado_city_crime_time_likelihood,avg_day_crimes,double,gold,colorado_crimes_with_cities
tayloro,colorado_city_crime_time_likelihood,avg_night_crimes,double,gold,colorado_crimes_with_cities
tayloro,colorado_city_crime_time_likelihood,is_night_likely,boolean,gold,colorado_crimes_with_cities
tayloro,colorado_city_crime_time_likelihood,is_day_likely,boolean,gold,colorado_crimes_with_cities
tayloro,colorado_city_seasonal_crime_rates_1997_2020,city,varchar,gold,colorado_crimes_with_cities
tayloro,colorado_city_seasonal_crime_rates_1997_2020,crime_month,bigint,gold,colorado_crimes_with_cities
tayloro,colorado_city_seasonal_crime_rates_1997_2020,month_name,varchar,gold,colorado_crimes_with_cities
tayloro,colorado_city_seasonal_crime_rates_1997_2020,avg_monthly_crimes,double,gold,colorado_crimes_with_cities
tayloro,colorado_county_agency_crime_counts,county_name,varchar,gold,colorado_crimes
tayloro,colorado_county_agency_crime_counts,agency_name,varchar,gold,colorado_crimes
tayloro,colorado_county_agency_crime_counts,total_crimes,bigint,gold,colorado_crimes
tayloro,colorado_county_average_income_1997_2020,county_name,varchar,gold,colorado_crimes
tayloro,colorado_county_average_income_1997_2020,agency_name,varchar,gold,colorado_crimes
tayloro,colorado_county_average_income_1997_2020,total_crimes,bigint,gold,colorado_crimes
tayloro,colorado_county_coordinates_raw,county,varchar,bronze,source
tayloro,colorado_county_coordinates_raw,label,varchar,bronze,source
tayloro,colorado_county_coordinates_raw,cent_lat,double,bronze,source
tayloro,colorado_county_coordinates_raw,cent_long,double,bronze,source
tayloro,colorado_county_crime_per_capita_1997_2020,county_name,varchar,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_county_crime_per_capita_1997_2020,total_crimes,bigint,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_county_crime_per_capita_1997_2020,total_population,bigint,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_county_crime_per_capita_1997_2020,crime_per_100k,decimal,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_county_crime_per_capita_with_coordinates,county,varchar,gold,"colorado_county_crime_per_capita_1997_2020, colorado_county_coordinates_raw"
tayloro,colorado_county_crime_per_capita_with_coordinates,crime_per_100k,"decimal(26,1)",gold,"colorado_county_crime_per_capita_1997_2020, colorado_county_coordinates_raw"
tayloro,colorado_county_crime_per_capita_with_coordinates,cent_lat,double,gold,"colorado_county_crime_per_capita_1997_2020, colorado_county_coordinates_raw"
tayloro,colorado_county_crime_per_capita_with_coordinates,cent_long,double,gold,"colorado_county_crime_per_capita_1997_2020, colorado_county_coordinates_raw"
tayloro,colorado_county_crime_vs_population_1997_2020,county_name,varchar,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_county_crime_vs_population_1997_2020,crime_year,bigint,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_county_crime_vs_population_1997_2020,total_crimes,bigint,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_county_crime_vs_population_1997_2020,total_population,bigint,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_county_crime_vs_population_1997_2020,crime_per_100k,"decimal(26,1)",silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_county_seasonal_crime_rates_1997_2020,county_name,varchar,gold,colorado_crimes
tayloro,colorado_county_seasonal_crime_rates_1997_2020,crime_month,bigint,gold,colorado_crimes
tayloro,colorado_county_seasonal_crime_rates_1997_2020,month_name,varchar,gold,colorado_crimes
tayloro,colorado_county_seasonal_crime_rates_1997_2020,avg_monthly_crimes,double,gold,colorado_crimes
tayloro,colorado_crime_category_totals_per_county_1997_2020,offense_category_name,varchar,gold,colorado_crimes
tayloro,colorado_crime_category_totals_per_county_1997_2020,crime_count,bigint,gold,colorado_crimes
tayloro,colorado_crime_category_totals_per_county_1997_2020,county_name,varchar,gold,colorado_crimes
tayloro,colorado_crime_population_trends,year,integer,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_crime_population_trends,county_name,varchar,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_crime_population_trends,total_crimes,bigint,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_crime_population_trends,total_population,bigint,silver,"colorado_population_raw, colorado_crimes"
tayloro,colorado_crime_tier_arson,county_name,varchar,silver,colorado_crimes
tayloro,colorado_crime_tier_arson,total_crimes,bigint,silver,colorado_crimes
tayloro,colorado_crime_tier_arson,crime_percentile,double,silver,colorado_crimes
tayloro,colorado_crime_tier_arson,crime_tier,integer,silver,colorado_crimes
tayloro,colorado_crime_tier_burglary,county_name,varchar,silver,colorado_crimes
tayloro,colorado_crime_tier_burglary,total_crimes,bigint,silver,colorado_crimes
tayloro,colorado_crime_tier_burglary,crime_percentile,double,silver,colorado_crimes
tayloro,colorado_crime_tier_burglary,crime_tier,integer,silver,colorado_crimes
tayloro,colorado_crime_tier_county_rank,county_name,varchar,silver,"colorado_crime_tier_property_destruction, colorado_crime_tier_burglary,
colorado_crime_tier_larceny_theft, colorado_crime_tier_vehicle_theft, 
colorado_crime_tier_robbery, colorado_crime_tier_arson, colorado_crime_tier_stolen_property"
tayloro,colorado_crime_tier_county_rank,property_destruction_tier,integer,silver,"colorado_crime_tier_property_destruction, colorado_crime_tier_burglary,
colorado_crime_tier_larceny_theft, colorado_crime_tier_vehicle_theft, 
colorado_crime_tier_robbery, colorado_crime_tier_arson, colorado_crime_tier_stolen_property"
tayloro,colorado_crime_tier_county_rank,burglary_tier,integer,silver,"colorado_crime_tier_property_destruction, colorado_crime_tier_burglary,
colorado_crime_tier_larceny_theft, colorado_crime_tier_vehicle_theft, 
colorado_crime_tier_robbery, colorado_crime_tier_arson, colorado_crime_tier_stolen_property"
tayloro,colorado_crime_tier_county_rank,larceny_theft_tier,integer,silver,"colorado_crime_tier_property_destruction, colorado_crime_tier_burglary,
colorado_crime_tier_larceny_theft, colorado_crime_tier_vehicle_theft, 
colorado_crime_tier_robbery, colorado_crime_tier_arson, colorado_crime_tier_stolen_property"
tayloro,colorado_crime_tier_county_rank,vehicle_theft_tier,integer,silver,"colorado_crime_tier_property_destruction, colorado_crime_tier_burglary,
colorado_crime_tier_larceny_theft, colorado_crime_tier_vehicle_theft, 
colorado_crime_tier_robbery, colorado_crime_tier_arson, colorado_crime_tier_stolen_property"
tayloro,colorado_crime_tier_county_rank,robbery_tier,integer,silver,"colorado_crime_tier_property_destruction, colorado_crime_tier_burglary,
colorado_crime_tier_larceny_theft, colorado_crime_tier_vehicle_theft, 
colorado_crime_tier_robbery, colorado_crime_tier_arson, colorado_crime_tier_stolen_property"
tayloro,colorado_crime_tier_county_rank,arson_tier,integer,silver,"colorado_crime_tier_property_destruction, colorado_crime_tier_burglary,
colorado_crime_tier_larceny_theft, colorado_crime_tier_vehicle_theft, 
colorado_crime_tier_robbery, colorado_crime_tier_arson, colorado_crime_tier_stolen_property"
tayloro,colorado_crime_tier_county_rank,stolen_property_tier,integer,silver,"colorado_crime_tier_property_destruction, colorado_crime_tier_burglary,
colorado_crime_tier_larceny_theft, colorado_crime_tier_vehicle_theft, 
colorado_crime_tier_robbery, colorado_crime_tier_arson, colorado_crime_tier_stolen_property"
tayloro,colorado_crime_tier_county_rank,overall_crime_tier,double,silver,"colorado_crime_tier_property_destruction, colorado_crime_tier_burglary,
colorado_crime_tier_larceny_theft, colorado_crime_tier_vehicle_theft, 
colorado_crime_tier_robbery, colorado_crime_tier_arson, colorado_crime_tier_stolen_property"
tayloro,colorado_crime_tier_larceny_theft,county_name,varchar,silver,colorado_crimes
